recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
14700651,289.992236,49.443758,0.302,0.452,20122234,4,19,0.497,0.020,15.278,0.017,15.775,0.010,15.379,0.051,15.140,0.015,15.033,0.056
14700652,290.006357,49.422549,0.648,0.663,20122234,3,11,0.906,0.131,16.116,0.055,17.022,0.119,16.465,0.006,15.830,0.041,15.627,0.000
14700656,289.937223,49.424193,0.608,0.911,20122234,4,10,0.452,0.019,16.509,0.006,16.962,0.018,16.649,0.077,16.386,0.078,,
14700659,289.906978,49.440754,0.317,0.357,20122234,4,19,0.641,0.042,14.691,0.025,15.332,0.034,14.915,0.014,14.483,0.020,14.318,0.034
14700660,289.942754,49.449329,0.585,0.456,20122234,4,14,1.032,0.062,15.906,0.046,16.938,0.042,16.399,0.018,15.620,0.084,15.315,0.049
14700661,289.921408,49.479853,0.486,0.739,20122234,4,17,0.837,0.089,15.179,0.075,16.016,0.048,15.510,0.011,14.867,0.033,14.764,0.041
14700662,289.926837,49.472074,0.657,0.851,20122234,2,6,0.289,0.000,16.811,0.000,17.100,0.000,16.820,0.014,16.471,0.111,,
14700741,290.017565,49.519783,0.269,0.269,20122234,4,19,0.711,0.022,14.323,0.019,15.034,0.010,14.586,0.027,14.124,0.021,14.032,0.017
14700747,289.973526,49.484382,0.260,0.298,20122234,4,19,0.562,0.029,14.835,0.026,15.397,0.014,15.009,0.033,14.695,0.030,14.584,0.124
14700748,289.973711,49.469346,0.675,0.517,20122234,4,18,0.698,0.043,15.706,0.041,16.405,0.016,15.952,0.033,15.459,0.006,15.300,0.020
14700749,289.983085,49.516634,0.761,0.576,20122234,2,6,0.739,0.090,16.399,0.043,17.138,0.079,16.773,0.000,16.180,0.000,,
14700750,289.927280,49.540178,0.604,0.511,20122234,4,19,1.055,0.096,14.802,0.089,15.856,0.036,15.246,0.026,14.475,0.088,14.203,0.072
14700751,289.943477,49.517918,1.002,0.492,20122234,4,16,0.740,0.187,15.812,0.081,16.552,0.168,16.141,0.009,15.587,0.124,15.314,0.105
14700752,289.957814,49.525009,0.646,0.750,20122234,4,17,0.505,0.098,15.697,0.097,16.202,0.014,15.816,0.033,15.531,0.110,15.448,0.000
14700753,289.965709,49.534707,0.783,0.887,20122234,4,8,0.572,0.060,15.956,0.056,16.528,0.023,16.109,0.008,15.657,0.064,,
14700755,290.011449,49.539321,0.630,0.379,20122234,4,20,0.767,0.039,14.427,0.037,15.193,0.014,14.717,0.021,14.208,0.022,14.126,0.087
14700756,290.014014,49.549926,0.267,0.324,20122234,4,20,0.670,0.028,13.756,0.022,14.426,0.018,14.010,0.023,13.564,0.033,13.475,0.044
14700758,289.967837,49.546818,0.238,0.298,20122234,4,17,0.706,0.026,14.306,0.025,15.011,0.009,14.599,0.010,14.106,0.023,13.966,0.010
14700759,289.963342,49.575007,1.111,1.014,20122234,2,6,0.440,0.108,16.236,0.070,16.677,0.082,16.317,0.000,15.900,0.000,,
14700760,289.968388,49.594271,0.386,0.964,20122234,4,8,0.501,0.119,15.459,0.088,15.960,0.080,15.599,0.000,15.252,0.000,,
14700761,289.973329,49.568577,0.667,0.418,20122234,4,20,0.440,0.046,14.792,0.042,15.233,0.020,14.907,0.030,14.656,0.000,14.658,0.068
14700762,289.989796,49.582298,0.476,0.429,20122234,4,18,0.712,0.050,15.345,0.042,16.057,0.027,15.575,0.037,15.153,0.044,15.068,0.051
14700775,290.023290,49.566375,0.666,0.801,20122234,3,12,0.932,0.078,16.443,0.056,17.375,0.054,16.737,0.052,16.143,0.011,,
14700779,289.968314,49.599046,0.275,0.464,20122234,4,20,1.129,0.020,14.300,0.014,15.429,0.014,14.785,0.022,13.959,0.030,13.697,0.038
14700780,289.972728,49.612454,0.524,0.496,20122234,4,19,0.779,0.065,15.361,0.047,16.141,0.044,15.679,0.022,15.179,0.041,14.971,0.072
14700781,289.990252,49.605884,0.943,0.569,20122234,2,4,0.688,0.067,16.299,0.000,16.988,0.067,16.530,0.000,16.027,0.000,,
14700782,289.998673,49.592613,0.250,0.481,20122234,4,15,0.498,0.043,15.132,0.016,15.629,0.040,15.283,0.017,14.968,0.011,14.990,0.000
14700788,290.003104,49.644303,0.433,0.188,20122234,4,20,1.184,0.031,13.835,0.029,15.019,0.012,14.347,0.028,13.525,0.031,13.232,0.053
14700789,290.014481,49.642166,0.471,0.380,20122234,3,12,0.598,0.035,15.149,0.028,15.747,0.021,15.356,0.010,14.940,0.062,14.781,0.057
14700791,290.018724,49.671726,0.390,0.770,20122234,4,24,0.645,0.054,15.558,0.042,16.203,0.034,15.767,0.018,15.332,0.044,15.152,0.129
14706748,290.021905,49.711678,0.317,0.358,20122234,4,20,1.219,0.045,14.291,0.036,15.510,0.026,14.816,0.030,13.909,0.016,13.605,0.036
14706750,290.020608,49.743808,0.501,0.370,20122234,4,17,0.701,0.099,15.756,0.081,16.457,0.057,15.975,0.039,15.576,0.041,15.599,0.000
14725962,289.590617,49.416507,0.412,0.334,20122234,4,16,0.921,0.063,15.107,0.055,16.028,0.030,15.506,0.026,14.745,0.014,14.508,0.006
14725963,289.522131,49.424051,0.253,0.369,20122234,4,19,0.523,0.034,14.668,0.032,15.191,0.012,14.853,0.025,14.517,0.060,14.501,0.047
14725965,289.471708,49.418117,0.664,0.594,20122234,4,19,0.705,0.058,15.542,0.043,16.247,0.039,15.834,0.044,15.327,0.021,15.145,0.009
14725966,289.501945,49.429378,0.330,0.456,20122234,4,19,0.701,0.059,14.743,0.057,15.444,0.017,15.009,0.023,14.541,0.029,14.453,0.050
14725967,289.534772,49.440675,0.582,0.659,20122234,2,7,0.571,0.066,15.937,0.010,16.508,0.065,16.060,0.000,15.561,0.000,15.507,0.000
14725968,289.535731,49.421301,0.194,0.337,20122234,4,19,0.535,0.039,13.555,0.038,14.090,0.011,13.747,0.017,13.439,0.041,13.387,0.033
14725970,289.542168,49.476131,0.366,0.642,20122234,4,17,0.485,0.083,15.948,0.056,16.434,0.061,16.067,0.038,15.781,0.107,15.556,0.000
14725971,289.565038,49.454530,0.640,0.773,20122234,3,10,1.019,0.053,16.403,0.048,17.422,0.022,16.865,0.029,15.987,0.030,,
14725972,289.489322,49.483589,0.644,0.774,20122234,3,11,0.713,0.011,16.037,0.000,16.750,0.011,16.284,0.020,15.939,0.119,15.549,0.000
14725973,289.501494,49.487300,0.178,0.301,20122234,4,20,0.712,0.025,14.161,0.014,14.873,0.020,14.438,0.029,13.971,0.028,13.863,0.033
14725974,289.519136,49.488242,0.582,0.453,20122234,3,8,0.942,0.000,16.232,0.000,17.174,0.000,16.721,0.022,16.175,0.016,,
14725975,289.524887,49.465081,0.541,0.701,20122234,4,17,0.687,0.080,15.507,0.075,16.193,0.028,15.745,0.031,15.251,0.020,15.275,0.000
14726091,289.381723,49.422690,0.702,1.003,20122234,2,6,0.456,0.174,17.179,0.064,17.636,0.162,17.245,0.000,16.865,0.000,,
14726117,289.434895,49.473796,0.418,0.519,20122234,4,19,0.663,0.025,15.073,0.013,15.736,0.021,15.293,0.019,14.863,0.035,14.735,0.029
14726118,289.457505,49.463213,0.502,0.532,20122234,4,18,0.876,0.029,15.352,0.026,16.228,0.013,15.702,0.016,15.085,0.041,15.051,0.128
14726119,289.390289,49.460980,0.421,0.609,20122234,4,20,0.507,0.057,15.367,0.045,15.874,0.035,15.566,0.019,15.247,0.056,15.161,0.046
14726120,289.389354,49.500097,1.178,1.113,20122234,3,10,0.618,0.173,16.464,0.045,17.082,0.167,16.606,0.022,16.336,0.147,,
14726122,289.438507,49.501681,0.343,0.637,20122234,4,20,0.565,0.050,14.962,0.047,15.527,0.017,15.154,0.020,14.858,0.061,14.834,0.117
14726123,289.465285,49.477553,0.428,0.791,20122234,3,14,0.738,0.079,15.697,0.066,16.435,0.044,15.966,0.013,15.469,0.049,15.367,0.029
14726125,289.452118,49.521056,0.484,0.582,20122234,4,20,0.958,0.063,15.382,0.056,16.341,0.029,15.776,0.012,15.140,0.035,14.986,0.084
14726126,289.459874,49.501743,0.475,0.520,20122234,2,8,0.585,0.151,16.292,0.150,16.877,0.008,16.539,0.022,16.177,0.081,,
14726127,289.482691,49.509332,0.364,0.528,20122234,4,18,0.683,0.037,15.568,0.015,16.250,0.034,15.807,0.022,15.402,0.048,15.310,0.080
14726128,289.491342,49.505282,0.622,0.657,20122234,2,8,0.467,0.116,16.160,0.061,16.627,0.099,16.215,0.051,16.096,0.027,,
14726129,289.403708,49.517820,0.701,0.455,20122234,4,16,0.882,0.056,15.824,0.054,16.706,0.013,16.201,0.025,15.545,0.020,15.394,0.118
14726130,289.415653,49.512397,0.962,1.199,20122234,2,6,0.404,0.123,16.139,0.116,16.543,0.038,16.298,0.000,15.873,0.000,,
14726131,289.421189,49.516019,0.797,1.730,20122234,2,4,0.646,0.000,15.964,0.000,16.610,0.000,16.325,0.025,15.859,0.000,,
14726133,289.356444,49.524445,0.462,0.544,20122234,4,20,0.939,0.051,15.268,0.043,16.208,0.029,15.673,0.030,14.998,0.058,14.779,0.079
14726134,289.359525,49.508509,0.186,0.426,20122234,4,20,0.865,0.049,14.448,0.041,15.313,0.028,14.802,0.029,14.178,0.041,14.001,0.069
14726139,289.361943,49.554341,0.568,0.501,20122234,4,19,0.587,0.032,15.406,0.011,15.993,0.030,15.602,0.043,15.241,0.019,15.097,0.144
14726140,289.382125,49.514300,0.629,0.411,20122234,4,20,1.343,0.074,14.439,0.071,15.782,0.021,15.106,0.027,13.912,0.020,13.439,0.044
14726141,289.377464,49.552192,0.183,0.372,20122234,4,20,0.997,0.046,13.686,0.046,14.682,0.005,14.114,0.023,13.394,0.030,13.177,0.047
14726142,289.398799,49.563348,0.324,0.979,20122234,4,11,0.762,0.000,15.731,0.000,16.493,0.000,15.975,0.021,15.248,0.058,15.025,0.119
14726143,289.405671,49.557062,1.000,1.064,20122234,2,6,0.571,0.242,16.728,0.235,17.299,0.059,16.967,0.000,16.411,0.000,,
14726216,289.771641,49.425981,0.248,0.308,20122234,4,20,0.706,0.025,13.212,0.023,13.918,0.009,13.481,0.017,13.034,0.032,12.971,0.035
14726219,289.794239,49.446549,0.963,0.508,20122234,3,8,0.572,0.032,15.640,0.000,16.211,0.032,15.752,0.056,15.540,0.049,,
14726227,289.713892,49.433697,0.939,0.816,20122234,4,14,0.565,0.041,14.541,0.040,15.106,0.009,14.706,0.016,14.421,0.024,14.325,0.010
